,年月日,平均気温(℃),華氏温度
0,2021-01-01,-5.2,-20.666666666666668
1,2021-01-02,-5.3,-20.72222222222222
2,2021-01-03,-7.3,-21.833333333333332
3,2021-01-04,-2.9,-19.38888888888889
4,2021-01-05,-2.4,-19.11111111111111
5,2021-01-06,-3.6,-19.77777777777778
6,2021-01-07,-1.5,-18.61111111111111
7,2021-01-08,-4.9,-20.5
8,2021-01-09,-8.2,-22.333333333333336
9,2021-01-10,-5.5,-20.833333333333332
10,2021-01-11,-3.2,-19.555555555555557
11,2021-01-12,-2.6,-19.22222222222222
12,2021-01-13,-0.1,-17.833333333333332
13,2021-01-14,1.8,-16.77777777777778
14,2021-01-15,-0.4,-18.0
15,2021-01-16,2.3,-16.5
16,2021-01-17,-0.6,-18.11111111111111
17,2021-01-18,-2.2,-19.0
18,2021-01-19,-2.5,-19.166666666666668
19,2021-01-20,-1.5,-18.61111111111111
20,2021-01-21,0.9,-17.27777777777778
21,2021-01-22,2.6,-16.333333333333332
22,2021-01-23,1.0,-17.22222222222222
23,2021-01-24,0.7,-17.38888888888889
24,2021-01-25,0.6,-17.444444444444443
25,2021-01-26,0.1,-17.72222222222222
26,2021-01-27,3.4,-15.88888888888889
27,2021-01-28,0.6,-17.444444444444443
28,2021-01-29,0.3,-17.61111111111111
29,2021-01-30,-2.0,-18.88888888888889
30,2021-01-31,-1.0,-18.333333333333332
31,2021-02-01,-0.3,-17.944444444444443
32,2021-02-02,2.3,-16.5
33,2021-02-03,-3.7,-19.833333333333336
34,2021-02-04,-4.7,-20.38888888888889
35,2021-02-05,-0.5,-18.055555555555554
36,2021-02-06,4.9,-15.055555555555555
37,2021-02-07,2.1,-16.61111111111111
38,2021-02-08,-2.9,-19.38888888888889
39,2021-02-09,-2.4,-19.11111111111111
40,2021-02-10,1.0,-17.22222222222222
41,2021-02-11,2.5,-16.38888888888889
42,2021-02-12,0.9,-17.27777777777778
43,2021-02-13,1.9,-16.72222222222222
44,2021-02-14,3.4,-15.88888888888889
45,2021-02-15,4.7,-15.166666666666666
46,2021-02-16,2.2,-16.555555555555557
47,2021-02-17,-0.6,-18.11111111111111
48,2021-02-18,-0.5,-18.055555555555554
49,2021-02-19,3.0,-16.11111111111111
50,2021-02-20,5.7,-14.61111111111111
51,2021-02-21,5.9,-14.5
52,2021-02-22,8.3,-13.166666666666666
53,2021-02-23,2.3,-16.5
54,2021-02-24,-1.1,-18.38888888888889
55,2021-02-25,0.3,-17.61111111111111
56,2021-02-26,1.6,-16.88888888888889
57,2021-02-27,-0.5,-18.055555555555554
58,2021-02-28,0.7,-17.38888888888889
59,2021-03-01,5.9,-14.5
60,2021-03-02,7.2,-13.777777777777779
61,2021-03-03,1.9,-16.72222222222222
62,2021-03-04,4.4,-15.333333333333334
63,2021-03-05,8.1,-13.277777777777777
64,2021-03-06,4.6,-15.222222222222221
65,2021-03-07,1.3,-17.055555555555554
66,2021-03-08,2.0,-16.666666666666668
67,2021-03-09,3.0,-16.11111111111111
68,2021-03-10,4.6,-15.222222222222221
69,2021-03-11,5.8,-14.555555555555555
70,2021-03-12,4.0,-15.555555555555555
71,2021-03-13,3.7,-15.722222222222221
72,2021-03-14,7.0,-13.88888888888889
73,2021-03-15,9.1,-12.722222222222221
74,2021-03-16,,
75,2021-03-17,6.3,-14.277777777777777
76,2021-03-18,6.4,-14.222222222222223
77,2021-03-19,5.6,-14.666666666666666
78,2021-03-20,4.7,-15.166666666666666
79,2021-03-21,8.1,-13.277777777777777
80,2021-03-22,7.5,-13.61111111111111
81,2021-03-23,5.4,-14.777777777777779
82,2021-03-24,8.4,-13.11111111111111
83,2021-03-25,10.5,-11.944444444444445
84,2021-03-26,9.0,-12.777777777777777
85,2021-03-27,8.5,-13.055555555555555
86,2021-03-28,9.5,-12.5
87,2021-03-29,16.2,-8.777777777777779
88,2021-03-30,13.6,-10.222222222222221
89,2021-03-31,13.1,-10.499999999999998
90,2021-04-01,9.7,-12.38888888888889
91,2021-04-02,10.2,-12.11111111111111
92,2021-04-03,13.7,-10.166666666666666
93,2021-04-04,12.4,-10.88888888888889
94,2021-04-05,9.3,-12.61111111111111
95,2021-04-06,5.7,-14.61111111111111
96,2021-04-07,8.5,-13.055555555555555
97,2021-04-08,8.0,-13.333333333333332
98,2021-04-09,4.5,-15.277777777777777
99,2021-04-10,6.0,-14.444444444444445
100,2021-04-11,7.4,-13.666666666666668
101,2021-04-12,10.8,-11.777777777777777
102,2021-04-13,14.8,-9.555555555555555
103,2021-04-14,10.2,-12.11111111111111
104,2021-04-15,7.3,-13.722222222222221
105,2021-04-16,10.1,-12.166666666666666
106,2021-04-17,13.2,-10.444444444444445
107,2021-04-18,12.0,-11.11111111111111
108,2021-04-19,11.7,-11.277777777777779
109,2021-04-20,13.4,-10.333333333333334
110,2021-04-21,12.3,-10.944444444444445
111,2021-04-22,11.5,-11.38888888888889
112,2021-04-23,9.4,-12.555555555555555
113,2021-04-24,11.5,-11.38888888888889
114,2021-04-25,10.8,-11.777777777777777
115,2021-04-26,8.0,-13.333333333333332
116,2021-04-27,8.7,-12.944444444444445
117,2021-04-28,13.6,-10.222222222222221
118,2021-04-29,13.0,-10.555555555555555
119,2021-04-30,12.9,-10.611111111111112
120,2021-05-01,12.2,-11.0
121,2021-05-02,11.3,-11.5
122,2021-05-03,11.1,-11.61111111111111
123,2021-05-04,15.2,-9.333333333333334
124,2021-05-05,13.8,-10.11111111111111
125,2021-05-06,17.5,-8.055555555555555
126,2021-05-07,14.8,-9.555555555555555
127,2021-05-08,18.2,-7.666666666666667
128,2021-05-09,15.9,-8.944444444444445
129,2021-05-10,14.5,-9.722222222222221
130,2021-05-11,14.2,-9.88888888888889
131,2021-05-12,13.3,-10.388888888888888
132,2021-05-13,16.9,-8.38888888888889
133,2021-05-14,19.0,-7.222222222222222
134,2021-05-15,17.4,-8.111111111111112
135,2021-05-16,18.7,-7.388888888888889
136,2021-05-17,20.3,-6.499999999999999
137,2021-05-18,18.8,-7.333333333333333
138,2021-05-19,15.3,-9.277777777777777
139,2021-05-20,18.7,-7.388888888888889
140,2021-05-21,15.5,-9.166666666666666
141,2021-05-22,16.2,-8.777777777777779
142,2021-05-23,15.8,-9.0
143,2021-05-24,18.5,-7.5
144,2021-05-25,19.8,-6.777777777777777
145,2021-05-26,16.2,-8.777777777777779
146,2021-05-27,14.1,-9.944444444444443
147,2021-05-28,18.2,-7.666666666666667
148,2021-05-29,19.2,-7.111111111111112
149,2021-05-30,17.3,-8.166666666666666
150,2021-05-31,17.9,-7.833333333333334
151,2021-06-01,17.2,-8.222222222222223
152,2021-06-02,18.7,-7.388888888888889
153,2021-06-03,20.1,-6.61111111111111
154,2021-06-04,19.1,-7.166666666666666
155,2021-06-05,19.2,-7.111111111111112
156,2021-06-06,21.8,-5.666666666666666
157,2021-06-07,22.2,-5.444444444444445
158,2021-06-08,20.0,-6.666666666666666
159,2021-06-09,21.5,-5.833333333333333
160,2021-06-10,21.8,-5.666666666666666
161,2021-06-11,22.1,-5.499999999999999
162,2021-06-12,21.7,-5.722222222222222
163,2021-06-13,23.1,-4.944444444444444
164,2021-06-14,23.6,-4.666666666666666
165,2021-06-15,21.2,-6.0
166,2021-06-16,20.5,-6.388888888888888
167,2021-06-17,20.7,-6.277777777777778
168,2021-06-18,19.9,-6.722222222222223
169,2021-06-19,19.0,-7.222222222222222
170,2021-06-20,22.3,-5.388888888888888
171,2021-06-21,20.7,-6.277777777777778
172,2021-06-22,20.5,-6.388888888888888
173,2021-06-23,19.8,-6.777777777777777
174,2021-06-24,19.6,-6.8888888888888875
175,2021-06-25,21.3,-5.944444444444444
176,2021-06-26,22.8,-5.111111111111111
177,2021-06-27,22.7,-5.166666666666667
178,2021-06-28,23.3,-4.833333333333333
179,2021-06-29,19.2,-7.111111111111112
180,2021-06-30,20.6,-6.333333333333332
181,2021-07-01,20.0,-6.666666666666666
182,2021-07-02,21.4,-5.888888888888889
183,2021-07-03,20.4,-6.444444444444445
184,2021-07-04,19.1,-7.166666666666666
185,2021-07-05,21.5,-5.833333333333333
186,2021-07-06,23.7,-4.611111111111112
187,2021-07-07,21.0,-6.111111111111111
188,2021-07-08,21.4,-5.888888888888889
189,2021-07-09,21.2,-6.0
190,2021-07-10,22.0,-5.555555555555555
191,2021-07-11,22.3,-5.388888888888888
192,2021-07-12,23.6,-4.666666666666666
193,2021-07-13,24.0,-4.444444444444445
194,2021-07-14,24.0,-4.444444444444445
195,2021-07-15,23.4,-4.777777777777779
196,2021-07-16,26.1,-3.277777777777777
197,2021-07-17,27.2,-2.666666666666667
198,2021-07-18,28.2,-2.1111111111111116
199,2021-07-19,28.4,-2.000000000000001
200,2021-07-20,28.0,-2.2222222222222223
201,2021-07-21,27.3,-2.6111111111111107
202,2021-07-22,24.6,-4.11111111111111
203,2021-07-23,25.7,-3.5000000000000004
204,2021-07-24,27.0,-2.7777777777777777
205,2021-07-25,27.0,-2.7777777777777777
206,2021-07-26,26.4,-3.1111111111111116
207,2021-07-27,24.9,-3.944444444444445
208,2021-07-28,24.2,-4.333333333333334
209,2021-07-29,26.4,-3.1111111111111116
210,2021-07-30,26.2,-3.2222222222222223
211,2021-07-31,25.5,-3.611111111111111
212,2021-08-01,25.8,-3.4444444444444438
213,2021-08-02,27.7,-2.3888888888888893
214,2021-08-03,28.6,-1.888888888888888
215,2021-08-04,28.2,-2.1111111111111116
216,2021-08-05,29.2,-1.5555555555555558
217,2021-08-06,28.3,-2.055555555555555
218,2021-08-07,28.2,-2.1111111111111116
219,2021-08-08,27.4,-2.5555555555555562
220,2021-08-09,26.6,-2.999999999999999
221,2021-08-10,25.2,-3.777777777777778
222,2021-08-11,19.8,-6.777777777777777
223,2021-08-12,18.2,-7.666666666666667
224,2021-08-13,18.1,-7.722222222222221
225,2021-08-14,17.3,-8.166666666666666
226,2021-08-15,19.4,-7.000000000000001
227,2021-08-16,19.5,-6.944444444444445
228,2021-08-17,19.9,-6.722222222222223
229,2021-08-18,25.0,-3.888888888888889
230,2021-08-19,26.4,-3.1111111111111116
231,2021-08-20,25.8,-3.4444444444444438
232,2021-08-21,24.2,-4.333333333333334
233,2021-08-22,25.1,-3.8333333333333326
234,2021-08-23,25.2,-3.777777777777778
235,2021-08-24,23.0,-5.0
236,2021-08-25,25.3,-3.722222222222222
237,2021-08-26,27.6,-2.4444444444444438
238,2021-08-27,27.2,-2.666666666666667
239,2021-08-28,23.8,-4.555555555555555
240,2021-08-29,24.5,-4.166666666666667
241,2021-08-30,23.8,-4.555555555555555
242,2021-08-31,23.3,-4.833333333333333
243,2021-09-01,20.1,-6.61111111111111
244,2021-09-02,20.8,-6.222222222222221
245,2021-09-03,20.8,-6.222222222222221
246,2021-09-04,19.1,-7.166666666666666
247,2021-09-05,18.5,-7.5
248,2021-09-06,18.0,-7.777777777777778
249,2021-09-07,17.7,-7.944444444444445
250,2021-09-08,17.4,-8.111111111111112
251,2021-09-09,21.8,-5.666666666666666
252,2021-09-10,23.1,-4.944444444444444
253,2021-09-11,22.8,-5.111111111111111
254,2021-09-12,24.1,-4.388888888888888
255,2021-09-13,21.9,-5.611111111111112
256,2021-09-14,18.9,-7.277777777777779
257,2021-09-15,20.7,-6.277777777777778
258,2021-09-16,18.4,-7.555555555555556
259,2021-09-17,19.4,-7.000000000000001
260,2021-09-18,21.0,-6.111111111111111
261,2021-09-19,21.1,-6.0555555555555545
262,2021-09-20,20.0,-6.666666666666666
263,2021-09-21,20.7,-6.277777777777778
264,2021-09-22,23.2,-4.888888888888889
265,2021-09-23,21.8,-5.666666666666666
266,2021-09-24,20.1,-6.61111111111111
267,2021-09-25,18.6,-7.444444444444444
268,2021-09-26,17.6,-7.999999999999999
269,2021-09-27,16.6,-8.555555555555555
270,2021-09-28,17.9,-7.833333333333334
271,2021-09-29,19.7,-6.833333333333334
272,2021-09-30,22.6,-5.222222222222221
273,2021-10-01,17.5,-8.055555555555555
274,2021-10-02,18.9,-7.277777777777779
275,2021-10-03,18.7,-7.388888888888889
276,2021-10-04,19.6,-6.8888888888888875
277,2021-10-05,20.2,-6.555555555555555
278,2021-10-06,17.5,-8.055555555555555
279,2021-10-07,16.4,-8.666666666666668
280,2021-10-08,19.3,-7.055555555555555
281,2021-10-09,17.9,-7.833333333333334
282,2021-10-10,18.8,-7.333333333333333
283,2021-10-11,19.4,-7.000000000000001
284,2021-10-12,15.1,-9.388888888888888
285,2021-10-13,14.8,-9.555555555555555
286,2021-10-14,16.8,-8.444444444444445
287,2021-10-15,16.8,-8.444444444444445
288,2021-10-16,13.3,-10.388888888888888
289,2021-10-17,10.1,-12.166666666666666
290,2021-10-18,9.5,-12.5
291,2021-10-19,12.3,-10.944444444444445
292,2021-10-20,12.5,-10.833333333333334
293,2021-10-21,9.7,-12.38888888888889
294,2021-10-22,9.0,-12.777777777777777
295,2021-10-23,8.8,-12.888888888888888
296,2021-10-24,9.5,-12.5
297,2021-10-25,10.5,-11.944444444444445
298,2021-10-26,10.9,-11.722222222222223
299,2021-10-27,10.6,-11.888888888888888
300,2021-10-28,12.3,-10.944444444444445
301,2021-10-29,10.4,-12.0
302,2021-10-30,10.1,-12.166666666666666
303,2021-10-31,11.8,-11.222222222222221
304,2021-11-01,12.4,-10.88888888888889
305,2021-11-02,13.9,-10.055555555555555
306,2021-11-03,12.4,-10.88888888888889
307,2021-11-04,12.1,-11.055555555555555
308,2021-11-05,10.7,-11.833333333333334
309,2021-11-06,9.8,-12.333333333333332
310,2021-11-07,10.2,-12.11111111111111
311,2021-11-08,11.5,-11.38888888888889
312,2021-11-09,16.3,-8.722222222222221
313,2021-11-10,13.3,-10.388888888888888
314,2021-11-11,10.8,-11.777777777777777
315,2021-11-12,8.7,-12.944444444444445
316,2021-11-13,8.3,-13.166666666666666
317,2021-11-14,9.7,-12.38888888888889
318,2021-11-15,9.8,-12.333333333333332
319,2021-11-16,8.4,-13.11111111111111
320,2021-11-17,5.9,-14.5
321,2021-11-18,5.9,-14.5
322,2021-11-19,11.9,-11.166666666666668
323,2021-11-20,8.6,-12.999999999999998
324,2021-11-21,6.1,-14.388888888888888
325,2021-11-22,,
326,2021-11-23,8.1,-13.277777777777777
327,2021-11-24,3.9,-15.61111111111111
328,2021-11-25,5.1,-14.944444444444443
329,2021-11-26,4.7,-15.166666666666666
330,2021-11-27,2.9,-16.166666666666668
331,2021-11-28,2.7,-16.27777777777778
332,2021-11-29,2.4,-16.444444444444446
333,2021-11-30,5.0,-15.0
334,2021-12-01,10.0,-12.222222222222221
335,2021-12-02,2.6,-16.333333333333332
336,2021-12-03,4.1,-15.499999999999998
337,2021-12-04,4.1,-15.499999999999998
338,2021-12-05,2.2,-16.555555555555557
339,2021-12-06,1.6,-16.88888888888889
340,2021-12-07,6.7,-14.055555555555555
341,2021-12-08,8.2,-13.222222222222221
342,2021-12-09,5.7,-14.61111111111111
343,2021-12-10,3.2,-16.0
344,2021-12-11,4.2,-15.444444444444445
345,2021-12-12,5.6,-14.666666666666666
346,2021-12-13,1.5,-16.944444444444443
347,2021-12-14,3.3,-15.944444444444443
348,2021-12-15,3.7,-15.722222222222221
349,2021-12-16,3.1,-16.055555555555554
350,2021-12-17,4.0,-15.555555555555555
351,2021-12-18,-2.5,-19.166666666666668
352,2021-12-19,-1.4,-18.555555555555554
353,2021-12-20,0.0,-17.77777777777778
354,2021-12-21,4.2,-15.444444444444445
355,2021-12-22,2.6,-16.333333333333332
356,2021-12-23,2.1,-16.61111111111111
357,2021-12-24,1.8,-16.77777777777778
358,2021-12-25,-0.8,-18.22222222222222
359,2021-12-26,-4.2,-20.11111111111111
360,2021-12-27,-3.6,-19.77777777777778
361,2021-12-28,-3.2,-19.555555555555557
362,2021-12-29,-0.7,-18.166666666666668
363,2021-12-30,0.7,-17.38888888888889
364,2021-12-31,-4.4,-20.22222222222222
